ticket_id,imei,SIM ,Error Message,Tf_Part_Num_Transpose
1289600281,354215683624940,89148000009849763331,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289686050,354215683188557,89148000009849816741,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289597290,354215683084236,89148000009849758976,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289602332,354215682818899,89148000009847103548,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289588152,354215682948605,89148000009847105972,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289594838,354215683191221,89148000009849831799,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289593243,354215683067009,89148000009849803624,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289610744,354215683620633,89148000009849763166,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289607772,354215684509256,89148000009849751534,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289593259,354215683624965,89148000009849812237,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289672537,354215683621128,89148000009847129600,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289599953,354215684496694,89148000009847128172,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289722727,354215683587832,89148000009849764701,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289744785,354215683102350,89148000009849766086,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289691574,354215684506765,89148000009849829587,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289618212,354215684505593,89148000009849829322,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289738701,354215683184176,89148000009847138668,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289727092,354215684515535,89148000009849829173,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289711788,354215684505619,89148000009849829470,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289664360,354215683081133,89148000009847131556,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289611920,354215682890047,89148000009849626926,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289699807,354215683626051,89148000009849745601,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289688713,354215683186551,89148000009849816816,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289602709,354215683622886,89148000009849768371,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289685219,354215684509520,89148000009849814506,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289602774,354215683087387,89148000009849758711,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289608547,354215683613653,89148000009849370301,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289737944,354215683068700,89148000009846906966,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289609584,354215683078204,89148000009849822194,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289607419,354215683622993,89148000009849757325,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289730265,354215683067397,89148000009849825114,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289594818,354215683582866,89148000009849764560,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289662142,000008713769630,89148000008713769630,We are unable to Activate your phone. Please contact us,GPSLATKTMVZNAT-E
1289695429,000008710492285,89148000008710492285,We are unable to Activate your phone. Please contact us,GPSLATKTMVZNAT-E
1289598092,354215682909482,89148000009849762507,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289719620,000008716693357,89148000008716693357,We are unable to Activate your phone. Please contact us,GPSLATKTMVZNAT-E
1289594680,354215684510981,89148000009849821907,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289601867,354215684511971,89148000009847127455,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289694267,354215684500701,89148000009847130236,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289655927,354215683586594,89148000009849771466,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289675777,354215683597922,89148000009849813391,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289694009,354215683192559,89148000009849821691,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289720806,354215684511617,89148000009847129915,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289642322,354215682890872,89148000009847068923,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289659037,354215683190025,89148000009846899955,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289682027,354215683159285,89148000009752946378,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289673149,354215683187880,89148000009847139104,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289610949,354215682952607,89148000009847140672,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289711322,354215683602268,89148000009849762242,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289609279,354215682918830,89148000009849772001,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289589556,354215682914508,89148000009847102623,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289596273,354215682892340,89148000009847067305,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289611678,354215682915604,89148000009849762333,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289584726,354215682918418,89148000009849771920,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289746552,354215683169110,89148000009846900068,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289642532,354215683621003,89148000009849803020,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289710288,354215682946781,89148000009847106152,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289692374,354215682915190,89148000009847104827,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289633929,354215682906223,89148000009847106491,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289660421,354215682945163,89148000009849760907,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289683217,354215682900820,89148000009849622693,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289606398,354215682944166,89148000009847067875,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289657184,354215682906744,89148000009847068386,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289674990,354215683185694,89148000009847139245,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289636808,354215683168765,89148000009847139203,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289687703,354215684512516,89148000009849743911,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289600792,354215683602706,89148000009847072651,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289697065,354215683157719,89148000009847139096,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289659872,354215682894908,89148000009849624145,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
1289601078,354215682916891,89148000009847139930,Cannot compensate customer �(No compensation to apply to this customer),GPMTXT2271DCLLP
